gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ServiceBundleCount,ChargePerMonth
1,1,1,0,-1.2367242199587352,1,0,1,0,0,2,0,2,2,0,1,1,1.0216165451832002,-0.9256389565446128,0,0.30898256355971704,0.8633362269481524
0,0,1,1,-0.21871512695797646,1,0,0,2,2,2,2,0,0,1,0,3,0.046141706085686136,-0.1788045119147496,0,0.7939756982044881,0.1544064462860101
1,0,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,0,0,-1.481049737066981,-0.9968679387548512,0,-1.145996840374596,-1.4761964611496663
1,1,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,0,0,0,0,-0.6484894399837535,-0.9858163066435692,0,-1.145996840374596,-0.6463869908933781
0,0,1,1,1.6137012404433893,1,2,1,2,2,0,2,2,0,2,0,0,1.1678546811978192,2.193546337202649,0,1.278968832849259,1.1910548373182752
1,0,0,0,-1.1145631287986442,1,0,1,0,0,0,0,0,0,0,1,2,0.16412929309748078,-0.8659689668020626,1,-1.145996840374596,-0.045810316412479866
0,0,0,0,0.5549717837226001,1,0,1,0,0,2,0,0,0,0,1,1,0.33363258711442517,0.5596695164073775,0,-0.661003705729825,0.4099043663676857
1,0,0,0,0.06632741908223598,1,2,1,0,2,2,0,2,2,0,1,2,1.3822264942192488,0.5600886401800608,1,1.278968832849259,1.31268239071732
0,0,0,0,-0.8702409464784621,1,2,1,0,0,2,0,2,2,0,1,0,1.099721004191008,-0.5180962354748845,1,0.7939756982044881,1.1835303547833906
1,0,1,1,-0.9109613101984924,1,0,0,0,2,0,0,0,0,1,0,3,-0.5055748979694671,-0.7959091193261516,0,-0.661003705729825,-0.5695343772808197
0,0,1,1,1.5322605130033284,1,2,0,2,2,0,0,2,0,2,1,1,0.14751132309581955,1.1438177597983101,0,0.7939756982044881,0.16039982140569983
0,0,1,1,-0.62591876415828,1,0,2,1,1,1,1,1,1,1,0,3,-1.462769970065154,-0.8212550780005288,0,-1.145996840374596,-1.330344074514271
0,0,0,0,1.247217966963116,1,2,0,2,2,2,2,2,0,2,1,1,0.5014740841312035,1.1390088659854167,0,1.7639619674940301,0.41086225781195335
0,0,1,0,-0.7888002190384014,1,2,0,2,2,0,2,2,0,0,1,2,0.3801629031190768,-0.5727808582370959,0,1.278968832849259,0.3555509292809579
0,0,0,0,0.6771328748826912,1,2,1,0,0,0,0,0,2,0,1,2,0.6560212051466532,0.7177894744386527,0,-0.176010571085054,0.4957545297587756
1,0,0,0,-1.2367242199587352,1,0,0,0,2,0,0,0,0,0,0,3,-0.5155456799704636,-0.9629850906052922,0,-0.661003705729825,-0.5387270795826821
0,0,0,0,-1.2367242199587352,1,0,1,0,0,0,0,2,0,0,1,2,0.5280628361338618,-0.9421833159926397,1,-0.661003705729825,0.24222135400182881
1,0,0,0,0.7992939660427822,1,2,0,2,0,0,2,2,2,2,1,1,0.4981504901308714,0.8550414804194837,0,1.278968832849259,0.5415668707171901
0,0,1,1,1.4915401492832983,1,2,0,2,0,2,2,0,0,2,1,1,-0.020330173920958795,0.8710564203651738,0,0.7939756982044881,-0.1029984931586562
0,1,0,0,0.43281069256250915,1,2,1,0,2,0,0,2,0,0,1,2,0.8471278601657574,0.6878110951188281,0,0.30898256355971704,0.8119329526568734
0,0,0,0,-0.7073594915983407,1,0,1,2,2,0,0,2,2,0,1,1,1.141265929195161,-0.37647651859977455,1,0.7939756982044881,1.0047295771361997
0,1,1,0,-0.30015585439803716,1,2,0,2,0,0,2,2,0,0,1,1,0.1574821050968162,-0.23254059140194083,0,0.7939756982044881,0.17699601081082575
0,1,1,0,-0.9924020376385531,1,2,1,0,2,0,0,0,0,0,1,1,0.5280628361338618,-0.7263786913525774,1,-0.176010571085054,0.4770027759755388
0,1,1,1,1.125056875803025,1,0,0,2,2,2,2,0,2,1,1,1,0.33529438411459117,0.9602856656548654,0,1.278968832849259,0.3150160171111381
1,1,0,0,-0.5851984004382496,1,2,1,0,0,0,0,2,2,0,1,2,1.0199547481830342,-0.2325847096938023,1,0.30898256355971704,1.079944287824544
0,0,1,1,1.247217966963116,1,2,1,2,0,0,0,2,2,1,1,1,1.1595456961969886,1.778613802246135,0,0.7939756982044881,1.1731575272755999
1,1,1,1,1.369379058123207,1,2,1,0,2,2,2,2,2,1,1,2,1.4520219682262263,2.1161849124236753,0,1.7639619674940301,1.4063537469809826
0,0,1,1,0.06632741908223598,1,2,2,1,1,1,1,1,1,2,0,1,-1.3231790220511994,-0.6112299495943104,0,-0.661003705729825,-1.2740296593671376
0,0,0,0,1.6137012404433893,1,2,1,0,0,2,2,2,2,2,1,1,1.42044782522307,2.459138454208307,0,1.278968832849259,1.4680260621432286
0,0,1,0,0.5956921474426305,1,2,1,0,0,2,0,2,2,0,1,2,1.1877962451998125,1.0709122824973383,0,0.7939756982044881,1.1722725976536248
1,0,0,0,1.125056875803025,1,2,1,0,2,0,0,2,0,0,1,0,0.8354952811645946,1.3989759007787455,0,0.30898256355971704,0.863998749479295
1,0,1,0,1.6137012404433893,0,1,0,2,2,2,0,0,0,2,0,0,-0.7531826509942192,0.3010039712239601,0,-0.176010571085054,-0.782572177850498
0,0,1,1,-0.5851984004382496,1,0,0,0,0,2,2,0,0,1,1,1,-0.34438058895335305,-0.5835236623053481,0,-0.176010571085054,-0.3839544549462796
0,0,0,0,-0.9516816739185228,1,2,1,0,0,0,0,2,2,0,0,2,0.9850570111795457,-0.6275757767289609,1,0.30898256355971704,1.0099193369634847
0,0,0,0,-1.1960038562387048,1,0,0,0,2,0,2,2,2,0,1,2,0.3502505571160864,-0.8980870832771656,0,0.7939756982044881,0.5500182799285621
1,0,1,0,0.5956921474426305,1,2,1,0,2,0,0,0,0,1,1,2,0.46989994112804756,0.6046922332519411,0,-0.176010571085054,0.4274633585205437
0,0,0,0,-0.055833672077855064,1,0,0,0,2,2,2,2,2,2,0,3,0.47987072312904416,0.09594215065214973,0,1.278968832849259,0.5231255642827142
0,0,1,1,0.7178532386027215,1,0,2,1,1,1,1,1,1,2,0,0,-1.4827115340671475,-0.5950826547730361,0,-1.145996840374596,-1.5286019933630577
1,0,0,0,-0.9109613101984924,1,0,1,2,0,2,0,0,0,0,1,3,0.5014740841312035,-0.614296170878678,0,-0.176010571085054,0.7941026224437353
1,0,0,0,-1.2774445836787656,1,0,0,0,0,0,2,0,0,0,0,3,-0.5221928679711283,-0.9841398115528358,0,-0.661003705729825,-0.5205077099762567
0,0,1,1,0.7992939660427822,1,0,2,1,1,1,1,1,1,1,1,2,-1.4744025490663168,-0.5246036835244418,0,-1.145996840374596,-1.4505555651126514
1,1,1,1,1.2879383306831464,1,2,1,2,0,2,2,2,2,2,1,0,1.5567151792366918,2.1261777055302837,0,1.7639619674940301,1.52906785160112
1,0,1,1,1.2064976032430856,1,2,2,1,1,1,1,1,1,2,1,0,-1.3464441800535252,-0.3772706478532799,0,-0.661003705729825,-1.384191316099037
0,0,0,1,-1.1960038562387048,1,0,0,2,0,0,2,0,2,0,1,0,-0.00869759491979612,-0.9275139839487225,0,0.30898256355971704,-0.18648593385845594
0,1,0,0,0.9621754209229036,1,2,1,2,2,2,0,2,2,1,0,2,1.5201556452330371,1.702862695120103,0,1.7639619674940301,1.4864031752094498
0,0,0,0,0.5549717837226001,1,0,0,0,0,0,0,0,2,1,0,1,-0.3028356639492,0.18049485700453238,0,-0.661003705729825,-0.20901410036126283
0,0,1,1,-0.9924020376385531,1,0,0,2,2,0,0,0,0,0,0,3,-0.33607160395252245,-0.7930193712092296,0,-0.176010571085054,-0.14845990108140877
1,1,0,0,-0.0965540357978854,1,0,0,2,2,0,0,2,2,0,1,2,0.3319707901142591,-0.07431033764101187,0,0.7939756982044881,0.18596214906562436
0,0,1,1,0.5142514200025698,1,2,2,1,1,1,1,1,1,1,1,1,-1.2916048790480432,-0.4690366949250022,0,-0.661003705729825,-1.2497609827279905
0,0,0,1,-1.2774445836787656,1,0,1,0,0,0,0,2,0,0,1,2,0.48485611412954227,-0.9707719691188302,1,-0.661003705729825,0.4832139247050021
0,0,1,1,-0.8702409464784621,0,1,0,2,0,0,0,2,2,0,0,2,-0.47233895796614456,-0.7563570706724021,0,-0.176010571085054,-0.44281188586951636
0,0,1,0,-1.0331224013585834,1,0,1,0,0,2,0,0,0,0,1,0,0.34526516611558833,-0.7865560414515337,1,-0.661003705729825,0.20613753757351833
0,0,0,0,0.3920903288424788,1,0,1,0,2,2,2,2,2,0,1,0,1.2974748472107767,0.9034392465914449,0,1.278968832849259,1.2678298937297676
0,0,1,0,0.6771328748826912,1,0,2,1,1,1,1,1,1,2,1,0,-1.4827115340671475,-0.5763544398778698,0,-1.145996840374596,-1.4873173750652768
1,0,0,0,-0.9516816739185228,1,2,1,0,2,0,0,2,2,0,1,1,1.1479131171958254,-0.6004430272341968,0,0.7939756982044881,1.236281201770589
0,0,1,0,0.10704778280226633,1,0,0,2,0,0,0,2,0,1,1,0,-0.08680205392760396,-0.028361136667358768,0,-0.176010571085054,-0.04850772957498972
0,0,1,1,0.6364125111626608,1,0,2,1,1,1,1,1,1,2,0,0,-1.4660935640654862,-0.5394494887358046,0,-1.145996840374596,-1.4158793057102124
0,0,1,1,0.5549717837226001,1,0,2,1,1,1,1,1,1,2,1,3,-1.4893587220678117,-0.5967591498637697,0,-1.145996840374596,-1.4777087408403182
1,0,1,0,-0.13727439951791576,0,1,0,0,0,0,0,2,0,0,0,3,-1.0307027500219619,-0.5605159730996254,0,-1.145996840374596,-0.9924978994041571
1,0,1,1,-0.0965540357978854,1,0,1,0,2,2,0,0,0,0,0,0,0.574593152138513,0.12814850371097536,0,-0.176010571085054,0.6926814649679668
1,1,0,0,-1.2774445836787656,1,0,1,0,0,0,2,0,0,0,0,2,0.3303089931140931,-0.9728234696903856,0,-0.661003705729825,0.3291774362143141
1,0,1,1,1.369379058123207,1,2,0,2,0,2,2,2,2,2,1,3,0.6394032351449919,1.5152496589794784,0,1.7639619674940301,0.7227007623828513
0,0,0,0,1.3286586944031769,1,2,1,2,2,2,0,2,2,0,1,1,1.5384354122348645,2.1297071688791958,0,1.7639619674940301,1.4766154968819223
1,0,0,0,1.6137012404433893,1,2,1,0,2,2,0,2,2,2,1,0,1.2010906212011416,2.2850256153772723,0,1.278968832849259,1.28645348095192
0,0,0,0,-0.8295205827584317,1,2,1,2,0,0,0,0,0,0,1,2,0.47156173812821356,-0.5966488541341161,1,-0.176010571085054,0.4146152376262639
1,0,1,1,1.5729808767233588,1,2,0,2,2,0,2,0,0,1,1,1,0.06940686408801149,1.0892654919116826,0,0.7939756982044881,0.07023377087331162
1,0,0,0,-1.1145631287986442,1,0,2,1,1,1,1,1,1,0,0,3,-1.4527991880641573,-0.9555511584266455,1,-1.145996840374596,-1.3910623158978237
1,0,0,0,0.7992939660427822,1,0,2,1,1,1,1,1,1,2,0,0,-1.4544609850643233,-0.5173021062213792,0,-1.145996840374596,-1.4400125382949471
0,1,1,0,-0.30015585439803716,1,0,1,0,2,2,0,2,2,0,1,2,1.1213243651931677,0.10357461514417286,1,0.7939756982044881,1.186481591513026
1,0,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,0,3,-1.481049737066981,-0.9968679387548512,0,-1.145996840374596,-1.4761964611496663
0,0,1,1,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,0,2,-1.505976692069473,-0.9971988259438118,0,-1.145996840374596,-1.5010410560675191
1,0,0,0,0.22920887396235737,1,2,1,0,0,2,2,2,0,1,0,0,1.0049985751815391,0.5849492976439624,0,0.7939756982044881,0.9978021485649526
0,1,1,0,1.369379058123207,0,1,0,0,2,2,0,2,0,1,0,0,-0.6385186579827569,0.3297911566635268,0,-0.176010571085054,-0.6259341172993881
1,0,1,0,1.4508197855632678,1,2,1,0,2,2,2,2,2,2,1,0,1.503537675231376,2.352438365341499,1,1.7639619674940301,1.5627602887777083
1,0,0,0,-1.1145631287986442,0,1,0,0,0,0,0,0,0,0,0,3,-1.3447823830533592,-0.9615733052657274,0,-1.630989975019367,-1.4814966413988084
0,0,1,1,1.6137012404433893,1,2,1,2,2,0,0,2,2,1,1,2,1.3091074262119398,2.2162010800734806,0,1.278968832849259,1.2146802067447895
0,0,0,0,-0.015113308357824713,0,1,0,2,0,0,0,0,0,1,0,3,-1.150352134033923,-0.5965164992585318,0,-1.145996840374596,-1.185048864456077
1,0,0,0,0.43281069256250915,1,2,1,0,0,0,0,2,2,1,0,3,0.9833952141793793,0.7242307450504181,0,0.30898256355971704,0.875527411896215
1,0,1,1,1.6137012404433893,1,0,2,1,1,1,1,1,1,2,0,1,-1.5076384890696393,-0.4043372199102518,0,-1.145996840374596,-1.51813321720082
1,0,1,0,0.9214550572028734,1,2,1,2,2,0,0,2,0,0,1,2,1.0631614701873533,1.3055333586162896,1,0.7939756982044881,1.0100096809450039
0,0,0,0,0.7992939660427822,1,0,0,2,0,2,2,0,0,1,0,1,-0.22639300194155818,0.3364089004427376,0,0.30898256355971704,-0.2073065537874771
0,0,0,0,0.43281069256250915,1,0,1,0,2,2,0,2,0,0,1,2,0.893658176170409,0.7387015447809587,0,0.30898256355971704,0.9007957130839849
0,1,1,0,0.18848851024232702,1,2,1,0,0,0,0,0,0,0,1,2,0.39013368512007346,0.25959895431203156,1,-0.661003705729825,0.42251253604084266
0,0,1,1,1.2879383306831464,0,1,0,0,2,0,2,2,2,2,1,2,-0.33773340095268845,0.504609888164344,0,0.30898256355971704,-0.37335524466072345
1,0,1,1,-1.1960038562387048,1,0,1,2,2,0,0,2,0,0,0,2,0.8338334841644282,-0.8961899967271251,0,0.30898256355971704,0.5974990613271257
0,0,0,0,0.14776814652229667,0,1,0,2,0,0,0,0,0,2,0,0,-1.1204397880309327,-0.5088534533299203,0,-1.145996840374596,-1.1089105329474072
0,0,1,1,-0.9109613101984924,1,2,1,2,0,0,0,2,2,0,1,2,1.1794872601989819,-0.536074439408407,1,0.7939756982044881,1.381428846301779
0,0,0,0,0.35136996512244845,1,0,2,1,1,1,1,1,1,2,0,3,-1.4660935640654862,-0.6373259192303314,0,-1.145996840374596,-1.4705811787210785
1,0,1,1,-0.21871512695797646,1,2,1,0,2,0,2,0,0,0,1,1,0.6792863631489789,-0.056530666020865795,0,0.30898256355971704,0.494440000927143
0,0,1,1,0.9621754209229036,1,2,1,0,0,2,0,2,2,1,1,1,1.1645310871974868,1.4275424947590052,0,0.7939756982044881,1.1172539023883516
0,0,0,0,-1.0738427650786138,1,0,2,1,1,1,1,1,1,0,0,3,-1.46443176706532,-0.9560364596371209,0,-1.145996840374596,-1.5228490893843012
1,0,0,0,-1.1960038562387048,1,2,1,0,0,0,0,0,0,0,1,2,0.32033821111309646,-0.9045062947429998,1,-0.661003705729825,0.38935656612644665
0,0,1,1,-1.0331224013585834,1,0,0,2,0,0,0,0,0,0,0,3,-0.467353566965646,-0.8512113981744227,0,-0.661003705729825,-0.4873815834191192
0,0,1,1,-1.1552834925186746,1,0,2,1,1,1,1,1,1,0,0,3,-1.4594463760648215,-0.9780294281300312,0,-1.145996840374596,-1.6244358774928556
1,0,0,0,0.025607055362205634,1,0,1,2,0,0,2,2,0,2,1,2,0.8039211381614382,0.3299676298309725,0,0.30898256355971704,0.893877511811816
0,1,0,0,-0.21871512695797646,1,2,1,0,0,2,0,0,0,0,1,2,0.44164939212522314,-0.06363371101055196,1,-0.176010571085054,0.47468701435047994
1,0,1,0,1.6137012404433893,1,2,2,1,1,1,1,1,1,2,1,0,-1.3697093380558512,-0.24520254116616408,0,-0.661003705729825,-1.3521805248513838
1,0,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,0,3,-1.4960059100684764,-0.9970664710682275,0,-1.145996840374596,-1.491103218100378
1,1,0,0,1.5729808767233588,0,1,0,2,2,0,0,2,2,1,1,2,-0.2762469119465419,0.7524885109876478,0,0.30898256355971704,-0.28591874613219176
0,0,0,0,-0.7888002190384014,1,2,1,0,0,0,0,0,2,0,1,2,0.7042133181514708,-0.4694558186976855,0,-0.176010571085054,0.9523308400256922
0,0,1,1,-0.30015585439803716,0,1,0,2,2,2,0,2,2,0,1,1,-0.2047896409393986,-0.34283632105545325,1,0.7939756982044881,-0.15426525476054703
1,0,0,0,1.4100994218432374,1,0,0,0,0,0,2,0,0,2,0,0,-0.47233895796614456,0.4325205992628083,0,-0.661003705729825,-0.5334862297094635
1,0,0,0,-1.2774445836787656,0,1,0,0,0,0,0,0,2,0,1,2,-0.9742016520163136,-0.990139899245987,1,-1.145996840374596,-0.9710230311533231
1,0,0,0,-1.2367242199587352,1,0,0,0,0,0,0,0,0,0,0,2,-0.6784017859867437,-0.9699337215734635,1,-1.145996840374596,-0.799595326220138
0,0,0,0,0.43281069256250915,1,2,2,1,1,1,1,1,1,2,1,1,-1.2982520670487077,-0.4815662898136412,0,-0.661003705729825,-1.2299845995761531
0,0,0,0,-0.38159658183809786,1,0,1,2,0,0,0,0,0,0,1,0,0.3402797751150897,-0.22113601295576768,0,-0.661003705729825,0.4161695250861004
0,0,1,1,1.2879383306831464,1,0,2,1,1,1,1,1,1,2,0,3,-1.481049737066981,-0.44205835945175304,0,-1.145996840374596,-1.4839862768478682
1,0,0,1,1.002895784642934,1,0,2,1,1,1,1,1,1,2,1,3,-1.5009913010689746,-0.4893531683271792,0,-1.145996840374596,-1.4650672449466982
0,1,1,0,-1.2774445836787656,1,0,1,0,0,0,0,0,0,0,1,3,0.18905624809997262,-0.9746984970944953,1,-1.145996840374596,0.18839139834648078
0,1,1,1,1.6137012404433893,1,2,0,2,2,2,2,2,2,2,1,1,0.7740087921584478,1.829107187281513,0,2.248955102138801,0.8110015478387861
0,0,0,0,-0.9924020376385531,1,2,0,2,0,0,2,0,2,0,0,2,0.21232140610229844,-0.7571070816340459,1,0.7939756982044881,0.18859843663746267
0,0,1,0,1.1657772395230555,1,2,1,0,2,0,0,2,2,2,1,0,1.2060760122016398,1.628633669063289,0,0.7939756982044881,1.0973505890241255
1,0,0,0,1.2879383306831464,1,2,1,2,2,0,0,0,0,1,1,1,0.6493740171459885,1.3276586819847844,0,0.30898256355971704,0.5922454646934548
1,1,1,0,1.5729808767233588,1,2,2,1,1,1,1,1,1,2,0,0,-1.3564149620545218,-0.23097439204086098,0,-0.661003705729825,-1.3259624787356072
0,0,1,1,1.3286586944031769,1,2,1,2,2,0,2,2,0,2,1,1,1.1396041321949948,1.8251586001599174,0,1.278968832849259,1.1248160328451247
1,0,0,0,-1.1960038562387048,1,0,2,1,1,1,1,1,1,1,0,3,-1.5009913010689746,-0.9787132616538832,0,-1.145996840374596,-1.467914929510382
1,0,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,0,0,1,2,-0.6351950639824246,-0.9856398334761236,1,-1.145996840374596,-0.6331365402705234
1,0,0,1,-0.0965540357978854,1,0,0,0,2,2,0,2,0,1,0,1,-0.00869759491979612,-0.15431885993166986,0,0.30898256355971704,-0.014285285972270871
1,0,1,1,-0.7073594915983407,1,0,0,0,2,2,2,0,2,0,1,3,0.1574821050968162,-0.5330964547077621,0,0.7939756982044881,0.22074458195061838
0,0,1,1,-0.9924020376385531,1,0,0,0,0,0,2,2,2,0,1,2,0.12590796209365976,-0.7567982535910162,0,0.30898256355971704,0.19149697271121238
1,0,0,0,-1.0331224013585834,1,2,1,0,0,0,0,2,2,0,0,3,1.0049985751815391,-0.7165844305593455,1,0.30898256355971704,0.956680919282371
0,0,1,1,1.5322605130033284,1,2,1,2,2,2,0,2,2,1,1,1,1.4420511862252297,2.493043361503797,0,1.7639619674940301,1.6076329676490875
1,0,1,1,1.2064976032430856,1,0,0,2,2,2,2,2,2,2,0,2,0.7091987091519689,1.2950993825910675,0,1.7639619674940301,0.64112403283342
0,0,1,1,-1.0738427650786138,1,0,2,1,1,1,1,1,1,0,0,3,-1.4976677070686424,-0.9557055724481603,0,-1.145996840374596,-1.518708323564659
0,0,1,1,-0.748079855318371,1,0,1,0,0,0,0,0,2,0,1,0,0.5363718211346925,-0.49718416513257857,0,-0.661003705729825,0.5823556891867201
0,0,0,0,-0.4223169455581282,1,2,1,0,0,0,0,2,0,0,1,0,0.6443886261454905,-0.20196661514198722,0,-0.176010571085054,0.5980260678859892
1,0,1,1,-0.4223169455581282,1,0,2,1,1,1,1,1,1,1,0,3,-1.4827115340671475,-0.8205271261848155,0,-1.145996840374596,-1.5130869202701147
1,0,1,1,-0.6666391278783103,1,0,0,2,0,2,0,2,0,2,0,3,-0.017006579920626735,-0.5540085250500681,0,0.30898256355971704,-0.02527211794705462
1,0,0,0,-0.9109613101984924,1,2,2,1,1,1,1,1,1,2,0,0,-1.2982520670487077,-0.8947782113875602,0,-0.661003705729825,-1.3118908734262658
0,0,0,1,-0.7888002190384014,1,0,0,2,2,0,0,0,0,0,1,2,-0.29120308494803704,-0.6684734332844834,0,-0.176010571085054,-0.1971457515069706
0,0,1,0,-0.5037576729981889,1,2,1,2,0,0,0,0,0,0,0,2,0.5862257311396761,-0.30326221325577307,1,-0.176010571085054,0.4920751635590362
0,0,0,0,-1.2367242199587352,1,0,1,0,0,0,0,0,0,0,1,2,0.16412929309748078,-0.9461319031142356,0,-1.145996840374596,0.09398193765863931
1,0,0,0,0.8400143297628127,1,2,0,0,2,2,2,0,2,2,1,0,0.30372024111143525,0.7405324538932071,0,1.278968832849259,0.3286461681468884
0,0,1,1,-0.8702409464784621,1,0,2,1,1,1,1,1,1,1,0,3,-1.4677553610656522,-0.9025871490470287,0,-1.145996840374596,-1.4409623083570748
1,0,1,0,1.4915401492832983,1,0,2,1,1,1,1,1,1,2,0,3,-1.491020519067978,-0.404248983326529,0,-1.145996840374596,-1.4907671559469
0,0,0,0,-1.1552834925186746,1,0,1,0,0,0,0,0,0,0,1,0,0.20401242110146783,-0.8853368969292195,1,-1.145996840374596,0.11551391992077871
1,0,1,0,1.6137012404433893,1,2,0,2,2,2,2,2,2,2,1,0,0.8072447321617703,1.7535766716147878,0,2.248955102138801,0.7322349802473708
1,1,1,0,1.0436161483629645,0,1,0,0,2,2,0,0,2,0,1,2,-0.6468276429835875,0.16388432011871337,1,-0.176010571085054,-0.631137549874834
0,0,1,1,-0.6666391278783103,1,0,2,1,1,1,1,1,1,0,0,2,-1.4744025490663168,-0.8639836436682994,0,-1.145996840374596,-1.4799231503873445
